CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication
MA0000039604,3960,FCP EMERGENCE OPTIMUM,VALORIS MANAGEMENT,FCP,DIVERSIFIÉ,-,60% MBI + 40% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.015,0.02,CREDIT DU MAROC,VALORIS MANAGEMENT,1475249579.32,1156.05,-0.038884,0.001143,-0.005916,-0.016504,0.012285,-0.05016,-0.025812,-,-,-,2026-06-29,Quotidienne
MA0000039620,3962,FCP FH2 OBLIGATAIRE DP,VALORIS MANAGEMENT,FCP,OMLT,"[1,1 5]",90% MBI MT + 10% MBI MLT + 50 pbs,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,CDM,VALORIS MANAGEMENT,882028350.15,1070.4,0.01025,0.000944,0.001741,0.003177,0.01529,0.010536,0.024502,-,-,-,2026-06-29,Quotidienne
MA0000039638,3963,FCP AFRICAPITAL RENDEMENT,AFRICAPITAL MANAGEMENT,FCP,OMLT,[2  6],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,BCP,AFRICAPITAL MANAGEMENT,1219036732.27,1024.2,-0.013219,0.00133,0.001712,-0.002726,0.008617,-0.01663,-0.00451,-,-,-,2026-06-29,Quotidienne
MA0000039653,3965,FCP ALPHA OBLIGATAIRE,RED MED ASSET MANAGEMENT,FCP,OMLT,"]1,1   10]",MBI GLOBAL,QUOTIDIENNE,FNPP,CAPITALISANT,0.0,0.0,0.02,BCP,RED MED ASSET MANAGEMENT;RED MED SECURITIES,1122002.89,1122.0,-0.000499,0.002609,0.004782,0.002591,0.017724,-0.000508,0.008684,0.101058,0.159594,-,2026-06-29,Quotidienne
MA0000039661,3966,FCP EMERGENCE HARMONY FUND,VALORIS MANAGEMENT,FCP,OMLT,"[1,1  10]",MBI MT,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,CIH BANK,VALORIS MANAGEMENT,27573651.57,1351.31,0.009608,0.000496,0.000867,0.001787,0.013888,0.009601,0.015496,0.132661,0.255538,-,2026-06-29,Quotidienne
MA0000039679,3967,FCP OPTIMA EQUILIBRE,ALPHAVEST ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,60% MBI GLOBAL + 40% MASI,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANQUE CENTRALE POPULAIRE,ALPHAVEST ASSET MANAGEMENT,257819398.19,962.69,-0.039136,0.000613,-0.006778,-0.019983,0.016955,-0.05149,-0.042662,-,-,-,2026-06-29,Quotidienne
MA0000039687,3968,FCP OPTIMA MONETAIRE,ALPHAVEST ASSET MANAGEMENT,FCP,MONÉTAIRE,"[0  0,5]",MONIA,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANQUE CENTRALE POPULAIRE,ALPHAVEST ASSET MANAGEMENT,722489636.73,1026.52,0.013026,0.000195,0.000448,0.002265,0.007232,0.013296,0.025997,-,-,-,2026-06-29,Quotidienne
MA0000039695,3969,FCP OPTIMA OBLIGATAIRE,ALPHAVEST ASSET MANAGEMENT,FCP,OMLT,[4  8],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANQUE CENTRALE POPULAIRE,ALPHAVEST ASSET MANAGEMENT,603017384.76,1006.06,-0.009647,0.001364,0.003171,-0.001528,0.012102,-0.008837,0.005919,-,-,-,2026-06-29,Quotidienne
MA0000039703,3970,FCP OPTIMA SOUVERAIN,ALPHAVEST ASSET MANAGEMENT,FCP,OMLT,[4  8],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANK OF AFRICA,ALPHAVEST ASSET MANAGEMENT,334502690.2,1074.41,0.05823,0.001529,0.004028,-0.001301,0.012315,0.062436,0.074238,-,-,-,2026-06-29,Quotidienne
MA0000039711,3971,FCP OPTIMA DYNAMIQUE,ALPHAVEST ASSET MANAGEMENT,FCP,OCT,"[0,5  1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANK OF AFRICA,ALPHAVEST ASSET MANAGEMENT,735897520.07,1027.96,0.013947,0.000282,0.000389,0.002164,0.008912,0.014267,0.027528,-,-,-,2026-06-29,Quotidienne
MA0000039729,3972,FCP OPTIMA PERFORMANCE,ALPHAVEST ASSET MANAGEMENT,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,BANK OF AFRICA,ALPHAVEST ASSET MANAGEMENT,104989830.68,935.0,-0.037521,-0.000823,-0.020368,-0.042459,0.039825,-0.060046,-0.038699,-,-,-,2026-06-29,Quotidienne
MA0000039737,3973,FCP ALPHA INVEST,RED MED ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,40% MASI RB + 60% MBI GLOBAL,QUOTIDIENNE,FNPP,MIXTE,0.02,0.02,0.02,CDG CAPITAL,RED MED ASSET MANAGEMENT,236743087.84,1349.32,-0.069043,0.002221,-0.005616,-0.018041,-0.024459,-0.079528,-0.056611,0.365902,0.408505,-,2026-06-29,Quotidienne
